      time           q           qb           bl           blb    
    7.80000n      0.           0.           0.         700.0000m
    7.81000n      0.           0.           0.         700.0000m
    7.82000n      0.           0.           0.         700.0000m
    7.83000n      0.           0.           0.         700.0000m
    7.84000n      0.           0.           0.         700.0000m
    7.85000n      0.           0.           0.         700.0000m
    7.86000n      0.           0.           0.         700.0000m
    7.87000n      0.           0.           0.         700.0000m
    7.88000n      0.           0.           0.         700.0000m
    7.89000n      0.           0.           0.         700.0000m
    7.90000n      0.           0.           0.         700.0000m
    7.91000n      0.           0.           0.         700.0000m
    7.92000n      0.           0.           0.         700.0000m
    7.93000n      0.           0.           0.         700.0000m
    7.94000n      0.           0.           0.         700.0000m
    7.95000n      0.           0.           0.         700.0000m
    7.96000n      0.           0.           0.         700.0000m
    7.97000n      0.           0.           0.         700.0000m
    7.98000n      0.           0.           0.         700.0000m
    7.99000n      0.           0.           0.         700.0000m
    8.00000n      0.           0.           0.         700.0000m
y
x

        time    voltage
                    we
    0.          700.0000m
   10.00000p    700.0000m
   20.00000p    700.0000m
   30.00000p    700.0000m
   40.00000p    700.0000m
   50.00000p    700.0000m
   60.00000p    700.0000m
   70.00000p    700.0000m
   80.00000p    700.0000m
   90.00000p    700.0000m
  100.00000p    700.0000m
  110.00000p    700.0000m
  120.00000p    700.0000m
  130.00000p    700.0000m
  140.00000p    700.0000m
  150.00000p    700.0000m
  160.00000p    700.0000m
  170.00000p    700.0000m
  180.00000p    700.0000m
  190.00000p    700.0000m
  200.00000p    700.0000m
  210.00000p    700.0000m
  220.00000p    700.0000m
  230.00000p    700.0000m
  240.00000p    700.0000m
  250.00000p    700.0000m
  260.00000p    700.0000m
  270.00000p    700.0000m
  280.00000p    700.0000m
  290.00000p    700.0000m
  300.00000p    700.0000m
  310.00000p    700.0000m
  320.00000p    700.0000m
  330.00000p    700.0000m
  340.00000p    700.0000m
  350.00000p    700.0000m
  360.00000p    700.0000m
  370.00000p    700.0000m
  380.00000p    700.0000m
  390.00000p    700.0000m
  400.00000p    700.0000m
  410.00000p    700.0000m
  420.00000p    700.0000m
  430.00000p    700.0000m
  440.00000p    700.0000m
  450.00000p    700.0000m
  460.00000p    700.0000m
  470.00000p    700.0000m
  480.00000p    700.0000m
  490.00000p    700.0000m
  500.00000p    700.0000m
  510.00000p    700.0000m
  520.00000p    700.0000m
  530.00000p    700.0000m
  540.00000p    700.0000m
  550.00000p    700.0000m
  560.00000p    700.0000m
  570.00000p    700.0000m
  580.00000p    700.0000m
  590.00000p    700.0000m
  600.00000p    700.0000m
  610.00000p    700.0000m
  620.00000p    700.0000m
  630.00000p    700.0000m
  640.00000p    700.0000m
  650.00000p    700.0000m
  660.00000p    700.0000m
  670.00000p    700.0000m
  680.00000p    700.0000m
  690.00000p    700.0000m
  700.00000p    700.0000m
  710.00000p    700.0000m
  720.00000p    700.0000m
  730.00000p    700.0000m
  740.00000p    700.0000m
  750.00000p    700.0000m
  760.00000p    700.0000m
  770.00000p    700.0000m
  780.00000p    700.0000m
  790.00000p    700.0000m
  800.00000p    700.0000m
  810.00000p    700.0000m
  820.00000p    700.0000m
  830.00000p    700.0000m
  840.00000p    700.0000m
  850.00000p    700.0000m
  860.00000p    700.0000m
  870.00000p    700.0000m
  880.00000p    700.0000m
  890.00000p    700.0000m
  900.00000p    700.0000m
  910.00000p    700.0000m
  920.00000p    700.0000m
  930.00000p    700.0000m
  940.00000p    700.0000m
  950.00000p    700.0000m
  960.00000p    700.0000m
  970.00000p    700.0000m
  980.00000p    700.0000m
  990.00000p    700.0000m
    1.00000n    700.0000m
    1.01000n    700.0000m
    1.02000n    700.0000m
    1.03000n    700.0000m
    1.04000n    700.0000m
    1.05000n    700.0000m
    1.06000n    700.0000m
    1.07000n    700.0000m
    1.08000n    700.0000m
    1.09000n    700.0000m
    1.10000n    700.0000m
    1.11000n    700.0000m
    1.12000n    700.0000m
    1.13000n    700.0000m
    1.14000n    700.0000m
    1.15000n    700.0000m
    1.16000n    700.0000m
    1.17000n    700.0000m
    1.18000n    700.0000m
    1.19000n    700.0000m
    1.20000n    700.0000m
    1.21000n    700.0000m
    1.22000n    700.0000m
    1.23000n    700.0000m
    1.24000n    700.0000m
    1.25000n    700.0000m
    1.26000n    700.0000m
    1.27000n    700.0000m
    1.28000n    700.0000m
    1.29000n    700.0000m
    1.30000n    700.0000m
    1.31000n    700.0000m
    1.32000n    700.0000m
    1.33000n    700.0000m
    1.34000n    700.0000m
    1.35000n    700.0000m
    1.36000n    700.0000m
    1.37000n    700.0000m
    1.38000n    700.0000m
    1.39000n    700.0000m
    1.40000n    700.0000m
    1.41000n    700.0000m
    1.42000n    700.0000m
    1.43000n    700.0000m
    1.44000n    700.0000m
    1.45000n    700.0000m
    1.46000n    700.0000m
    1.47000n    700.0000m
    1.48000n    700.0000m
    1.49000n    700.0000m
    1.50000n    700.0000m
    1.51000n    700.0000m
    1.52000n    700.0000m
    1.53000n    700.0000m
    1.54000n    700.0000m
    1.55000n    700.0000m
    1.56000n    700.0000m
    1.57000n    700.0000m
    1.58000n    700.0000m
    1.59000n    700.0000m
    1.60000n    700.0000m
    1.61000n    700.0000m
    1.62000n    700.0000m
    1.63000n    700.0000m
    1.64000n    700.0000m
    1.65000n    700.0000m
    1.66000n    700.0000m
    1.67000n    700.0000m
    1.68000n    700.0000m
    1.69000n    700.0000m
    1.70000n    700.0000m
    1.71000n    700.0000m
    1.72000n    700.0000m
    1.73000n    700.0000m
    1.74000n    700.0000m
    1.75000n    700.0000m
    1.76000n    700.0000m
    1.77000n    700.0000m
    1.78000n    700.0000m
    1.79000n    700.0000m
    1.80000n    700.0000m
    1.81000n    700.0000m
    1.82000n    700.0000m
    1.83000n    700.0000m
    1.84000n    700.0000m
    1.85000n    700.0000m
    1.86000n    700.0000m
    1.87000n    700.0000m
    1.88000n    700.0000m
    1.89000n    700.0000m
    1.90000n    700.0000m
    1.91000n    700.0000m
    1.92000n    700.0000m
    1.93000n    700.0000m
    1.94000n    700.0000m
    1.95000n    700.0000m
    1.96000n    700.0000m
    1.97000n    700.0000m
    1.98000n    700.0000m
    1.99000n    700.0000m
    2.00000n    700.0000m
    2.01000n    350.0000m
    2.02000n      0.
    2.03000n      0.
    2.04000n      0.
    2.05000n      0.
    2.06000n      0.
    2.07000n      0.
    2.08000n      0.
    2.09000n      0.
    2.10000n      0.
    2.11000n      0.
    2.12000n      0.
    2.13000n      0.
    2.14000n      0.
    2.15000n      0.
    2.16000n      0.
    2.17000n      0.
    2.18000n      0.
    2.19000n      0.
    2.20000n      0.
    2.21000n      0.
    2.22000n      0.
    2.23000n      0.
    2.24000n      0.
    2.25000n      0.
    2.26000n      0.
    2.27000n      0.
    2.28000n      0.
    2.29000n      0.
    2.30000n      0.
    2.31000n      0.
    2.32000n      0.
    2.33000n      0.
    2.34000n      0.
    2.35000n      0.
    2.36000n      0.
    2.37000n      0.
    2.38000n      0.
    2.39000n      0.
    2.40000n      0.
    2.41000n      0.
    2.42000n      0.
    2.43000n      0.
    2.44000n      0.
    2.45000n      0.
    2.46000n      0.
    2.47000n      0.
    2.48000n      0.
    2.49000n      0.
    2.50000n      0.
    2.51000n      0.
    2.52000n      0.
    2.53000n      0.
    2.54000n      0.
    2.55000n      0.
    2.56000n      0.
    2.57000n      0.
    2.58000n      0.
    2.59000n      0.
    2.60000n      0.
    2.61000n      0.
    2.62000n      0.
    2.63000n      0.
    2.64000n      0.
    2.65000n      0.
    2.66000n      0.
    2.67000n      0.
    2.68000n      0.
    2.69000n      0.
    2.70000n      0.
    2.71000n      0.
    2.72000n      0.
    2.73000n      0.
    2.74000n      0.
    2.75000n      0.
    2.76000n      0.
    2.77000n      0.
    2.78000n      0.
    2.79000n      0.
    2.80000n      0.
    2.81000n      0.
    2.82000n      0.
    2.83000n      0.
    2.84000n      0.
    2.85000n      0.
    2.86000n      0.
    2.87000n      0.
    2.88000n      0.
    2.89000n      0.
    2.90000n      0.
    2.91000n      0.
    2.92000n      0.
    2.93000n      0.
    2.94000n      0.
    2.95000n      0.
    2.96000n      0.
    2.97000n      0.
    2.98000n      0.
    2.99000n      0.
    3.00000n      0.
    3.01000n      0.
    3.02000n      0.
    3.03000n      0.
    3.04000n      0.
    3.05000n      0.
    3.06000n      0.
    3.07000n      0.
    3.08000n      0.
    3.09000n      0.
    3.10000n      0.
    3.11000n      0.
    3.12000n      0.
    3.13000n      0.
    3.14000n      0.
    3.15000n      0.
    3.16000n      0.
    3.17000n      0.
    3.18000n      0.
    3.19000n      0.
    3.20000n      0.
    3.21000n      0.
    3.22000n      0.
    3.23000n      0.
    3.24000n      0.
    3.25000n      0.
    3.26000n      0.
    3.27000n      0.
    3.28000n      0.
    3.29000n      0.
    3.30000n      0.
    3.31000n      0.
    3.32000n      0.
    3.33000n      0.
    3.34000n      0.
    3.35000n      0.
    3.36000n      0.
    3.37000n      0.
    3.38000n      0.
    3.39000n      0.
    3.40000n      0.
    3.41000n      0.
    3.42000n      0.
    3.43000n      0.
    3.44000n      0.
    3.45000n      0.
    3.46000n      0.
    3.47000n      0.
    3.48000n      0.
    3.49000n      0.
    3.50000n      0.
    3.51000n      0.
    3.52000n      0.
    3.53000n      0.
    3.54000n      0.
    3.55000n      0.
    3.56000n      0.
    3.57000n      0.
    3.58000n      0.
    3.59000n      0.
    3.60000n      0.
    3.61000n      0.
    3.62000n      0.
    3.63000n      0.
    3.64000n      0.
    3.65000n      0.
    3.66000n      0.
    3.67000n      0.
    3.68000n      0.
    3.69000n      0.
    3.70000n      0.
    3.71000n      0.
    3.72000n      0.
    3.73000n      0.
    3.74000n      0.
    3.75000n      0.
    3.76000n      0.
    3.77000n      0.
    3.78000n      0.
    3.79000n      0.
    3.80000n      0.
    3.81000n      0.
    3.82000n      0.
    3.83000n      0.
    3.84000n      0.
    3.85000n      0.
    3.86000n      0.
    3.87000n      0.
    3.88000n      0.
    3.89000n      0.
    3.90000n      0.
    3.91000n      0.
    3.92000n      0.
    3.93000n      0.
    3.94000n      0.
    3.95000n      0.
    3.96000n      0.
    3.97000n      0.
    3.98000n      0.
    3.99000n      0.
    4.00000n      0.
    4.01000n    350.0000m
    4.02000n    700.0000m
    4.03000n    700.0000m
    4.04000n    700.0000m
    4.05000n    700.0000m
    4.06000n    700.0000m
    4.07000n    700.0000m
    4.08000n    700.0000m
    4.09000n    700.0000m
    4.10000n    700.0000m
    4.11000n    700.0000m
    4.12000n    700.0000m
    4.13000n    700.0000m
    4.14000n    700.0000m
    4.15000n    700.0000m
    4.16000n    700.0000m
    4.17000n    700.0000m
    4.18000n    700.0000m
    4.19000n    700.0000m
    4.20000n    700.0000m
    4.21000n    700.0000m
    4.22000n    700.0000m
    4.23000n    700.0000m
    4.24000n    700.0000m
    4.25000n    700.0000m
    4.26000n    700.0000m
    4.27000n    700.0000m
    4.28000n    700.0000m
    4.29000n    700.0000m
    4.30000n    700.0000m
    4.31000n    700.0000m
    4.32000n    700.0000m
    4.33000n    700.0000m
    4.34000n    700.0000m
    4.35000n    700.0000m
    4.36000n    700.0000m
    4.37000n    700.0000m
    4.38000n    700.0000m
    4.39000n    700.0000m
    4.40000n    700.0000m
    4.41000n    700.0000m
    4.42000n    700.0000m
    4.43000n    700.0000m
    4.44000n    700.0000m
    4.45000n    700.0000m
    4.46000n    700.0000m
    4.47000n    700.0000m
    4.48000n    700.0000m
    4.49000n    700.0000m
    4.50000n    700.0000m
    4.51000n    700.0000m
    4.52000n    700.0000m
    4.53000n    700.0000m
    4.54000n    700.0000m
    4.55000n    700.0000m
    4.56000n    700.0000m
    4.57000n    700.0000m
    4.58000n    700.0000m
    4.59000n    700.0000m
    4.60000n    700.0000m
    4.61000n    700.0000m
    4.62000n    700.0000m
    4.63000n    700.0000m
    4.64000n    700.0000m
    4.65000n    700.0000m
    4.66000n    700.0000m
    4.67000n    700.0000m
    4.68000n    700.0000m
    4.69000n    700.0000m
    4.70000n    700.0000m
    4.71000n    700.0000m
    4.72000n    700.0000m
    4.73000n    700.0000m
    4.74000n    700.0000m
    4.75000n    700.0000m
    4.76000n    700.0000m
    4.77000n    700.0000m
    4.78000n    700.0000m
    4.79000n    700.0000m
    4.80000n    700.0000m
    4.81000n    700.0000m
    4.82000n    700.0000m
    4.83000n    700.0000m
    4.84000n    700.0000m
    4.85000n    700.0000m
    4.86000n    700.0000m
    4.87000n    700.0000m
    4.88000n    700.0000m
    4.89000n    700.0000m
    4.90000n    700.0000m
    4.91000n    700.0000m
    4.92000n    700.0000m
    4.93000n    700.0000m
    4.94000n    700.0000m
    4.95000n    700.0000m
    4.96000n    700.0000m
    4.97000n    700.0000m
    4.98000n    700.0000m
    4.99000n    700.0000m
    5.00000n    700.0000m
    5.01000n    700.0000m
    5.02000n    700.0000m
    5.03000n    700.0000m
    5.04000n    700.0000m
    5.05000n    700.0000m
    5.06000n    700.0000m
    5.07000n    700.0000m
    5.08000n    700.0000m
    5.09000n    700.0000m
    5.10000n    700.0000m
    5.11000n    700.0000m
    5.12000n    700.0000m
    5.13000n    700.0000m
    5.14000n    700.0000m
    5.15000n    700.0000m
    5.16000n    700.0000m
    5.17000n    700.0000m
    5.18000n    700.0000m
    5.19000n    700.0000m
    5.20000n    700.0000m
    5.21000n    700.0000m
    5.22000n    700.0000m
    5.23000n    700.0000m
    5.24000n    700.0000m
    5.25000n    700.0000m
    5.26000n    700.0000m
    5.27000n    700.0000m
    5.28000n    700.0000m
    5.29000n    700.0000m
    5.30000n    700.0000m
    5.31000n    700.0000m
    5.32000n    700.0000m
    5.33000n    700.0000m
    5.34000n    700.0000m
    5.35000n    700.0000m
    5.36000n    700.0000m
    5.37000n    700.0000m
    5.38000n    700.0000m
    5.39000n    700.0000m
    5.40000n    700.0000m
    5.41000n    700.0000m
    5.42000n    700.0000m
    5.43000n    700.0000m
    5.44000n    700.0000m
    5.45000n    700.0000m
    5.46000n    700.0000m
    5.47000n    700.0000m
    5.48000n    700.0000m
    5.49000n    700.0000m
    5.50000n    700.0000m
    5.51000n    700.0000m
    5.52000n    700.0000m
    5.53000n    700.0000m
    5.54000n    700.0000m
    5.55000n    700.0000m
    5.56000n    700.0000m
    5.57000n    700.0000m
    5.58000n    700.0000m
    5.59000n    700.0000m
    5.60000n    700.0000m
    5.61000n    700.0000m
    5.62000n    700.0000m
    5.63000n    700.0000m
    5.64000n    700.0000m
    5.65000n    700.0000m
    5.66000n    700.0000m
    5.67000n    700.0000m
    5.68000n    700.0000m
    5.69000n    700.0000m
    5.70000n    700.0000m
    5.71000n    700.0000m
    5.72000n    700.0000m
    5.73000n    700.0000m
    5.74000n    700.0000m
    5.75000n    700.0000m
    5.76000n    700.0000m
    5.77000n    700.0000m
    5.78000n    700.0000m
    5.79000n    700.0000m
    5.80000n    700.0000m
    5.81000n    700.0000m
    5.82000n    700.0000m
    5.83000n    700.0000m
    5.84000n    700.0000m
    5.85000n    700.0000m
    5.86000n    700.0000m
    5.87000n    700.0000m
    5.88000n    700.0000m
    5.89000n    700.0000m
    5.90000n    700.0000m
    5.91000n    700.0000m
    5.92000n    700.0000m
    5.93000n    700.0000m
    5.94000n    700.0000m
    5.95000n    700.0000m
    5.96000n    700.0000m
    5.97000n    700.0000m
    5.98000n    700.0000m
    5.99000n    700.0000m
    6.00000n    700.0000m
    6.01000n    350.0000m
    6.02000n      0.
    6.03000n      0.
    6.04000n      0.
    6.05000n      0.
    6.06000n      0.
    6.07000n      0.
    6.08000n      0.
    6.09000n      0.
    6.10000n      0.
    6.11000n      0.
    6.12000n      0.
    6.13000n      0.
    6.14000n      0.
    6.15000n      0.
    6.16000n      0.
    6.17000n      0.
    6.18000n      0.
    6.19000n      0.
    6.20000n      0.
    6.21000n      0.
    6.22000n      0.
    6.23000n      0.
    6.24000n      0.
    6.25000n      0.
    6.26000n      0.
    6.27000n      0.
    6.28000n      0.
    6.29000n      0.
    6.30000n      0.
    6.31000n      0.
    6.32000n      0.
    6.33000n      0.
    6.34000n      0.
    6.35000n      0.
    6.36000n      0.
    6.37000n      0.
    6.38000n      0.
    6.39000n      0.
    6.40000n      0.
    6.41000n      0.
    6.42000n      0.
    6.43000n      0.
    6.44000n      0.
    6.45000n      0.
    6.46000n      0.
    6.47000n      0.
    6.48000n      0.
    6.49000n      0.
    6.50000n      0.
    6.51000n      0.
    6.52000n      0.
    6.53000n      0.
    6.54000n      0.
    6.55000n      0.
    6.56000n      0.
    6.57000n      0.
    6.58000n      0.
    6.59000n      0.
    6.60000n      0.
    6.61000n      0.
    6.62000n      0.
    6.63000n      0.
    6.64000n      0.
    6.65000n      0.
    6.66000n      0.
    6.67000n      0.
    6.68000n      0.
    6.69000n      0.
    6.70000n      0.
    6.71000n      0.
    6.72000n      0.
    6.73000n      0.
    6.74000n      0.
    6.75000n      0.
    6.76000n      0.
    6.77000n      0.
    6.78000n      0.
    6.79000n      0.
    6.80000n      0.
    6.81000n      0.
    6.82000n      0.
    6.83000n      0.
    6.84000n      0.
    6.85000n      0.
    6.86000n      0.
    6.87000n      0.
    6.88000n      0.
    6.89000n      0.
    6.90000n      0.
    6.91000n      0.
    6.92000n      0.
    6.93000n      0.
    6.94000n      0.
    6.95000n      0.
    6.96000n      0.
    6.97000n      0.
    6.98000n      0.
    6.99000n      0.
    7.00000n      0.
    7.01000n      0.
    7.02000n      0.
    7.03000n      0.
    7.04000n      0.
    7.05000n      0.
    7.06000n      0.
    7.07000n      0.
    7.08000n      0.
    7.09000n      0.
    7.10000n      0.
    7.11000n      0.
    7.12000n      0.
    7.13000n      0.
    7.14000n      0.
    7.15000n      0.
    7.16000n      0.
    7.17000n      0.
    7.18000n      0.
    7.19000n      0.
    7.20000n      0.
    7.21000n      0.
    7.22000n      0.
    7.23000n      0.
    7.24000n      0.
    7.25000n      0.
    7.26000n      0.
    7.27000n      0.
    7.28000n      0.
    7.29000n      0.
    7.30000n      0.
    7.31000n      0.
    7.32000n      0.
    7.33000n      0.
    7.34000n      0.
    7.35000n      0.
    7.36000n      0.
    7.37000n      0.
    7.38000n      0.
    7.39000n      0.
    7.40000n      0.
    7.41000n      0.
    7.42000n      0.
    7.43000n      0.
    7.44000n      0.
    7.45000n      0.
    7.46000n      0.
    7.47000n      0.
    7.48000n      0.
    7.49000n      0.
    7.50000n      0.
    7.51000n      0.
    7.52000n      0.
    7.53000n      0.
    7.54000n      0.
    7.55000n      0.
    7.56000n      0.
    7.57000n      0.
    7.58000n      0.
    7.59000n      0.
    7.60000n      0.
    7.61000n      0.
    7.62000n      0.
    7.63000n      0.
    7.64000n      0.
    7.65000n      0.
    7.66000n      0.
    7.67000n      0.
    7.68000n      0.
    7.69000n      0.
    7.70000n      0.
    7.71000n      0.
    7.72000n      0.
    7.73000n      0.
    7.74000n      0.
    7.75000n      0.
    7.76000n      0.
    7.77000n      0.
    7.78000n      0.
    7.79000n      0.
    7.80000n      0.
    7.81000n      0.
    7.82000n      0.
    7.83000n      0.
    7.84000n      0.
    7.85000n      0.
    7.86000n      0.
    7.87000n      0.
    7.88000n      0.
    7.89000n      0.
    7.90000n      0.
    7.91000n      0.
    7.92000n      0.
    7.93000n      0.
    7.94000n      0.
    7.95000n      0.
    7.96000n      0.
    7.97000n      0.
    7.98000n      0.
    7.99000n      0.
    8.00000n      0.
y
 escrita_0=   9.3562p  targ= 876.4991p   trig= 867.1429p
 leitura_0=  11.2843p  targ=   2.8784n   trig=   2.8671n
 escrita_1=  11.6979p  targ=   4.8788n   trig=   4.8671n
 leitura_1=  11.2761p  targ=   6.8784n   trig=   6.8671n
 energia_vdd= -36.3209f  from=   0.          to=   8.0000n

          ***** job concluded
1****** HSPICE -- H-2013.03-SP1 32-BIT (May 29 2013) RHEL32 ******
 ******
 'array 6t 128 celulas'

  ******  job statistics summary tnom=  25.000 temp=  25.000 *****


 ******  Machine Information  ******
 CPU:
 model name	: Intel(R) Xeon(R) CPU           E5620  @ 2.40GHz
 cpu MHz	: 2400.116

 OS:
 Linux version 3.2.0-4-amd64 (debian-kernel@lists.debian.org) (gcc version 4.6.3 (Debian 4.6.3-15) ) #1 SMP Debian 3.2.39-2


  ******  HSPICE Threads Information  ******

  Command Line Threads Count :     1
  Available CPU Count        :    16
  Actual Threads Count       :     1


  ******  Circuit Statistics  ******
  # nodes       =      26 # elements   =      50
  # resistors   =       0 # capacitors =       2 # inductors   =       0
  # mutual_inds =       0 # vccs       =       0 # vcvs        =       0
  # cccs        =       0 # ccvs       =       0 # volt_srcs   =       8
  # curr_srcs   =       0 # diodes     =       0 # bjts        =       0
  # jfets       =       0 # mosfets    =      40 # U elements  =       0
  # T elements  =       0 # W elements =       0 # B elements  =       0
  # S elements  =       0 # P elements =       0 # va device   =       0
  # vector_srcs =       0 # N elements =       0


  ******  Runtime Statistics (seconds)  ******

  analysis           time    # points   tot. iter  conv.iter
  op point           0.01           1          11
  transient          0.33         801        1246         470 rev=        78
  readin             0.01
  errchk             0.02
  setup              0.00
  output             0.01


           peak memory used        120.44 megabytes
           total cpu time            0.39 seconds
           total elapsed time        0.60 seconds
           job started at     17:10:32 01/19/2020
           job ended   at     17:10:33 01/19/2020


 lic: Release hspice token(s)
 lic: total license checkout elapse time:        0.20(s)
